,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
39,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,1348.0,254.0,0.11,0.08,0.02,88.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
123,Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,17791.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
124,Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
125,Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
126,Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,3959.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
127,Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,363.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
128,Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,13494.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
129,Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,12153.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
130,Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,9966.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
131,Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,16035.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
132,Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,22350.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
137,Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,47456.0,16574.0,0.98,0.66,0.32,367.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
140,Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,29769.0,18576.0,1.11,0.71,0.4,411.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
141,Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,10430.0,19390.0,1.13,0.71,0.42,429.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
142,Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,1596.0,18139.0,1.14,0.71,0.42,401.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
143,Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,22125.0,19820.0,1.18,0.75,0.44,439.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
144,Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,37625.0,18416.0,1.27,0.8,0.47,407.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
145,Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,18704.0,19133.0,1.31,0.81,0.49,423.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
146,Argentina,ARG,2021-02-13,606245.0,371629.0,234616.0,14613.0,19266.0,1.34,0.82,0.52,426.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
147,Argentina,ARG,2021-02-14,609605.0,372122.0,237483.0,3360.0,15493.0,1.35,0.82,0.53,343.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
148,Argentina,ARG,2021-02-15,609791.0,372181.0,237610.0,186.0,14030.0,1.35,0.82,0.53,310.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
